ticker,score_type,holding,n,rho,p,spread,verdict,class,class_mean_rho,n_bars,start,end,top_ret,top_dd,top_n,bottom_ret,bottom_dd,bottom_n
AAPL,SC,1,10960,0.026,0.006529,0.1453,neutral,neutral,-0.0014,11479,1980-12-15,2026-07-02,0.2025,-1.3572,3265.0,0.0572,-1.6268,2485.0
AAPL,SC,5,10956,-0.0038,0.694339,0.0855,neutral,neutral,-0.0014,11479,1980-12-15,2026-07-02,0.6224,-3.5783,3263.0,0.5369,-4.113,2484.0
AAPL,SC,10,10951,0.0029,0.75983,0.0746,neutral,neutral,-0.0014,11479,1980-12-15,2026-07-02,1.2336,-5.0876,3262.0,1.159,-5.8498,2483.0
AAPL,SC,15,10946,-0.0033,0.731344,-0.0612,neutral,neutral,-0.0014,11479,1980-12-15,2026-07-02,1.5867,-6.2576,3260.0,1.6479,-7.1442,2483.0
AAPL,SC,20,10941,-0.0013,0.890016,0.0078,neutral,neutral,-0.0014,11479,1980-12-15,2026-07-02,2.1779,-7.196,3257.0,2.1701,-8.2033,2483.0
AAPL,TS,1,11438,0.0094,0.312225,0.0839,neutral,neutral,0.0341,11479,1980-12-15,2026-07-02,0.1455,-1.2788,4641.0,0.0616,-1.5909,2484.0
AAPL,TS,5,11434,0.021,0.024817,0.199,neutral,neutral,0.0341,11479,1980-12-15,2026-07-02,0.5669,-3.3149,4640.0,0.3679,-4.4938,2484.0
AAPL,TS,10,11429,0.039,3.1e-05,0.5486,funktioniert,neutral,0.0341,11479,1980-12-15,2026-07-02,1.3118,-4.7123,4640.0,0.7632,-6.5392,2484.0
AAPL,TS,15,11424,0.0431,4e-06,0.6362,funktioniert,neutral,0.0341,11479,1980-12-15,2026-07-02,1.9754,-5.7966,4640.0,1.3392,-7.9814,2484.0
AAPL,TS,20,11419,0.0334,0.00035,0.4513,funktioniert,neutral,0.0341,11479,1980-12-15,2026-07-02,2.5502,-6.7156,4638.0,2.0989,-9.1074,2484.0
AAPL,GESAMT,1,10960,0.026,0.006526,0.1842,neutral,neutral,0.0175,11479,1980-12-15,2026-07-02,0.2451,-1.2557,2863.0,0.0609,-1.6966,2644.0
AAPL,GESAMT,5,10956,0.0104,0.275204,0.2946,neutral,neutral,0.0175,11479,1980-12-15,2026-07-02,0.7398,-3.2307,2862.0,0.4452,-4.4142,2643.0
